applicant_id,annual_income,loan_amount,credit_score,employment_years,num_existing_loans,loan_purpose,defaulted
71,44053.17,7073.23,836,8,1,home_improvement,0
72,104109.23,10728.48,640,8,2,education,0
73,54646.57,13470.51,784,5,1,debt_consolidation,0
74,88973.57,50000.0,726,6,0,business,0
75,113688.51,12663.79,649,5,1,education,0
76,77084.0,8123.82,807,9,1,debt_consolidation,0
77,61039.56,5429.63,633,8,0,home_improvement,0
78,46588.69,20900.63,628,7,0,debt_consolidation,0
79,44064.57,6424.91,598,12,1,business,0
80,41752.59,17437.69,751,9,3,personal,0
81,85022.13,35178.34,603,9,0,personal,0
82,54673.87,22727.68,668,7,1,home_improvement,1
83,75275.71,6938.9,652,8,0,business,0
84,111792.82,15779.24,638,12,0,business,0
85,128877.45,32992.95,661,7,1,education,0
86,69555.59,16922.44,646,4,0,personal,0
87,69401.56,11573.29,806,10,1,education,0
88,44357.5,24984.1,715,12,0,business,0
89,78500.45,19012.35,687,7,0,home_improvement,0
90,32086.76,14684.84,646,13,4,personal,0
91,51539.49,21489.2,579,11,3,education,0
92,29487.22,16372.58,629,4,1,home_improvement,0
93,25708.62,9680.51,678,8,3,business,0
94,57589.86,15327.76,675,7,0,debt_consolidation,0
95,30069.11,11147.36,692,8,2,debt_consolidation,0
96,37494.14,29927.41,797,7,1,personal,0
97,60966.37,11043.48,644,5,1,home_improvement,0
98,79116.37,11067.77,792,8,1,education,0
99,131478.12,23747.81,663,6,0,home_improvement,0
100,20000.0,11347.87,695,9,0,personal,1
101,31890.53,14284.77,672,7,0,business,0
102,20000.0,10520.52,786,11,1,home_improvement,0
103,26002.59,7728.17,612,7,1,personal,1
104,63724.79,10845.37,743,7,1,personal,0
105,48313.41,8693.77,819,7,2,education,0
106,22005.5,50000.0,671,5,1,business,1
107,57863.89,11008.29,448,11,0,home_improvement,0
108,106230.83,9572.79,590,13,0,personal,0
109,28963.86,24510.08,645,5,4,business,1
110,60528.27,23625.69,711,7,3,education,0
111,108992.18,7083.14,785,5,0,personal,0
112,31529.51,15689.66,671,8,1,education,1
113,47020.48,11102.89,644,4,1,business,0
114,23498.92,16311.46,733,4,1,education,0
115,96448.05,11094.49,666,4,2,home_improvement,0
116,60400.84,3152.73,682,3,0,education,0
117,36161.95,19628.33,641,17,0,debt_consolidation,0
118,44670.0,18317.21,810,5,2,debt_consolidation,0
119,78313.39,5633.05,695,9,4,debt_consolidation,0
120,22033.69,26818.15,774,9,1,debt_consolidation,0
121,32553.41,26826.56,709,7,2,home_improvement,0
122,54740.61,30959.17,769,10,0,personal,0
123,76579.02,4518.44,748,10,1,debt_consolidation,0
124,61582.03,24125.35,747,7,1,debt_consolidation,0
125,23780.09,7394.01,717,8,1,personal,0
126,80765.05,5677.77,558,4,2,debt_consolidation,0
127,88447.47,9322.48,555,3,1,personal,0
128,81026.86,11385.6,597,8,0,debt_consolidation,0
129,49521.5,9329.0,774,6,1,personal,0
130,36876.62,30646.64,732,5,0,personal,0
131,100928.07,6470.56,653,13,0,business,0
132,38799.39,26389.25,796,10,0,education,0
133,52446.61,9888.78,760,10,0,personal,0
134,77879.2,14270.59,722,7,2,debt_consolidation,0
135,92478.47,10998.68,737,3,2,home_improvement,0
136,34191.05,7589.06,727,8,3,personal,0
137,94008.28,7467.81,581,2,0,debt_consolidation,0
138,37371.22,5337.06,683,4,3,personal,0
139,73211.76,5014.12,723,3,1,business,0
140,68243.85,11836.69,677,6,1,home_improvement,0
141,50768.26,34932.7,622,7,0,home_improvement,1
142,24755.9,6107.68,542,5,1,debt_consolidation,0
143,29612.22,15108.56,614,8,1,education,0
144,80558.55,12039.8,754,11,2,business,0
145,61745.62,33006.52,724,3,0,education,0
146,64814.88,18637.13,553,10,1,home_improvement,0
147,42641.46,8476.19,740,7,0,home_improvement,0
148,40625.27,5809.05,575,6,1,education,0
149,62016.56,3466.27,664,13,2,personal,0
150,41640.3,7836.15,745,3,1,education,0
151,61620.86,50000.0,654,8,1,education,0
152,27256.88,8855.33,568,11,2,personal,1
153,51200.3,3566.56,470,4,1,personal,0
154,34184.58,4213.07,604,9,4,personal,1
155,54979.59,40479.48,645,6,2,business,1
156,28420.75,9773.53,711,4,2,home_improvement,0
157,93888.52,17714.61,631,4,3,home_improvement,0
158,21743.07,16620.23,638,4,1,personal,0
159,83002.72,8596.67,638,5,3,personal,0
160,41902.43,9596.62,623,11,0,business,0
161,66935.0,6925.69,828,9,1,business,0
162,61833.98,3717.99,700,4,3,debt_consolidation,0
163,37790.16,27365.94,604,7,3,education,0
164,39897.36,23416.55,511,5,0,home_improvement,1
165,82840.44,13182.17,690,5,0,home_improvement,0
166,53139.96,14089.6,796,3,2,business,0
167,42770.91,26653.76,720,7,2,education,0
168,40152.45,2697.27,850,10,0,business,0
169,43624.98,19197.21,633,5,0,debt_consolidation,0
170,112214.95,27490.29,722,4,2,debt_consolidation,0
171,104006.85,50000.0,559,6,2,debt_consolidation,0
172,114485.41,25571.43,538,5,2,business,0
173,111892.97,40811.75,665,7,3,education,0
174,34487.75,11461.55,773,8,2,personal,0
175,50782.34,13521.1,814,4,0,home_improvement,0
176,36361.85,7592.53,684,4,1,personal,0
177,76685.69,8726.28,607,6,1,education,0
178,45296.05,25879.19,503,9,1,business,0
179,39649.35,18108.66,631,14,2,business,0
180,40285.07,19327.7,675,6,0,business,0
181,33917.38,4562.01,633,4,1,debt_consolidation,0
182,69807.53,18952.96,535,8,0,debt_consolidation,0
183,64000.73,34865.13,679,6,0,debt_consolidation,0
184,34452.51,18289.11,651,4,0,personal,0
185,77241.14,6833.35,715,6,0,home_improvement,0
186,57797.35,13034.54,613,5,0,business,0
187,30375.75,36174.69,648,9,0,business,0
188,29086.43,16640.85,679,7,1,personal,0
189,30954.8,32526.42,707,5,4,home_improvement,1
190,77555.24,50000.0,639,3,0,home_improvement,0
191,102788.66,11767.09,616,12,2,personal,0
192,20000.0,6364.48,589,6,3,business,0
193,26990.03,9462.86,683,8,0,education,0
194,93789.64,50000.0,646,3,3,education,0
195,42472.51,24107.62,813,8,3,home_improvement,0
196,82955.83,15931.78,662,6,1,home_improvement,0
197,51046.45,28560.85,688,8,1,business,0
198,57323.05,9804.23,751,4,2,home_improvement,0
199,84887.1,10707.03,761,4,0,personal,0
200,48364.71,8204.45,641,3,0,education,0
201,32153.36,50000.0,827,12,1,education,0
202,65321.8,15319.25,847,9,0,home_improvement,0
203,40052.91,12488.0,650,7,1,personal,0
204,153088.75,15653.38,677,8,2,home_improvement,0
205,45356.09,12593.73,702,7,5,home_improvement,0
206,63841.47,7370.39,615,6,0,personal,0
207,77827.36,28561.18,672,12,1,personal,1
208,89745.94,4128.8,597,2,1,debt_consolidation,0
209,88271.12,15542.74,671,9,0,education,0
210,88238.52,20875.85,664,4,1,home_improvement,0
211,46742.29,4608.61,706,9,0,business,0
212,72943.59,18527.41,719,9,0,home_improvement,0
213,20000.0,9787.17,673,8,0,home_improvement,0
214,67837.59,4251.01,780,12,0,business,0
215,69543.94,15247.59,601,7,1,education,0
216,74709.11,25608.9,646,7,1,debt_consolidation,0
217,76455.57,50000.0,621,14,1,personal,0
218,76974.91,10159.4,798,2,1,debt_consolidation,0
219,41441.81,18918.1,662,7,1,home_improvement,0
220,43390.73,25660.68,663,9,1,home_improvement,0
221,69608.87,14735.23,782,6,1,business,0
222,20326.31,22301.88,556,9,1,business,1
223,23662.36,9910.54,596,4,0,home_improvement,1
224,36612.62,11790.99,668,9,0,debt_consolidation,1
225,40010.72,5549.08,633,4,1,debt_consolidation,0
226,56960.29,10284.38,749,8,1,education,0
227,140103.84,4214.92,565,4,2,home_improvement,0
228,39226.59,4499.57,726,6,2,personal,0
229,61962.52,24787.56,599,16,3,personal,0
230,21809.98,5405.07,700,9,1,debt_consolidation,1
231,39364.86,25733.29,750,3,2,business,0
232,69964.54,11957.26,829,5,2,business,0
233,40644.31,11976.01,559,4,0,debt_consolidation,1
234,36322.63,7953.73,688,9,1,education,0
235,20000.0,13077.3,756,2,1,home_improvement,0
236,33656.39,39299.37,685,3,1,personal,1
237,86602.01,8050.4,710,7,1,debt_consolidation,0
238,39581.84,10480.02,623,7,0,business,0
239,51339.1,23190.12,653,6,0,home_improvement,0
240,33820.44,5945.84,617,11,1,personal,0
241,42315.27,5570.36,728,12,1,education,0
242,89284.96,12915.82,828,3,0,debt_consolidation,0
243,39304.2,30930.63,692,11,1,home_improvement,0
244,34035.89,12567.26,684,7,1,personal,0
245,90429.52,11019.98,508,6,1,education,0
246,48318.72,13045.52,674,6,0,business,0
247,42195.44,12544.03,725,5,3,home_improvement,0
248,53610.85,8491.89,547,9,3,debt_consolidation,0
249,83432.28,25627.67,692,5,1,personal,0
250,52361.24,15633.12,678,10,1,business,0
251,34674.25,9338.9,519,9,3,business,0
252,52123.37,13969.75,713,7,0,personal,0
253,22406.17,10636.49,646,10,0,personal,0
254,31041.06,4941.44,690,3,4,personal,0
255,57970.88,50000.0,705,5,0,home_improvement,0
256,49762.52,14652.29,619,6,0,debt_consolidation,0
257,59776.19,6645.73,707,15,1,business,0
258,60791.4,5989.39,639,8,2,education,0
259,74020.96,4721.74,691,9,3,personal,0
260,51808.26,7983.88,628,8,1,debt_consolidation,0
261,81338.48,5824.63,766,12,2,education,0
262,61690.93,11470.04,735,8,0,home_improvement,0
263,63428.99,42133.5,652,7,1,business,0
264,32295.31,8173.94,736,9,3,debt_consolidation,0
265,34267.5,50000.0,646,7,0,debt_consolidation,0
266,37702.95,21133.31,697,6,0,business,0
267,126888.01,50000.0,612,9,4,business,0
268,97230.93,5395.73,757,6,2,personal,0
269,31494.3,8181.62,670,6,1,business,0
270,48528.14,8491.31,626,12,1,debt_consolidation,0
271,32888.88,12664.71,698,7,3,personal,0
272,33353.48,21507.08,540,8,0,business,0
273,81202.48,4599.58,599,9,2,education,0
274,23524.71,24558.56,656,3,0,education,1
275,62063.24,8181.07,690,7,0,business,0
276,47513.37,47875.99,689,6,1,debt_consolidation,1
277,80699.46,17104.85,636,6,2,personal,0
278,53985.14,32129.89,726,3,0,personal,0
279,103585.79,9708.89,581,6,2,personal,0
280,49964.16,19622.49,658,5,1,home_improvement,0
281,78965.81,9608.79,765,3,4,business,0
282,54679.39,20463.84,726,5,3,home_improvement,0
283,50868.73,15790.44,781,16,1,home_improvement,0
284,90031.08,39062.31,850,7,0,education,0
285,51027.83,25797.34,631,5,2,personal,1
286,53451.45,18635.34,707,9,2,home_improvement,0
287,34607.22,15261.97,615,9,1,debt_consolidation,0
288,49960.68,14098.12,592,4,2,business,0
289,20000.0,4711.52,714,8,0,debt_consolidation,0
290,39425.42,6056.21,682,10,1,personal,0
291,57875.08,7097.52,648,7,0,education,0
292,45569.25,42659.54,725,5,1,debt_consolidation,0
293,43971.6,9202.66,650,6,1,debt_consolidation,0
294,65145.92,9755.61,559,7,0,home_improvement,0
295,107348.24,20476.27,734,3,1,debt_consolidation,0
296,40136.85,7027.45,625,11,0,education,0
297,75557.49,35904.33,740,8,1,debt_consolidation,0
298,48552.06,2229.57,708,9,3,debt_consolidation,0
299,63721.62,31708.96,469,9,1,personal,0
300,133879.21,48985.16,656,7,0,education,0
301,78062.14,16981.24,604,9,0,debt_consolidation,0
302,91897.01,8211.66,754,10,0,personal,0
303,40042.89,25973.4,634,6,0,business,0
304,46901.82,7932.57,747,5,0,debt_consolidation,0
305,28593.28,50000.0,685,9,0,debt_consolidation,1
306,36185.38,19874.14,633,5,3,personal,1
307,54245.37,7034.07,720,10,2,personal,0
308,34637.33,23870.07,750,11,0,personal,0
309,55078.24,6481.69,585,4,0,debt_consolidation,0
310,39041.28,7681.87,557,5,0,home_improvement,1
311,52739.79,22952.63,673,6,0,home_improvement,0
312,68569.54,8172.15,647,5,0,personal,0
313,65940.3,14567.98,718,7,0,home_improvement,0
314,60426.51,20027.8,743,4,1,business,0
315,95113.5,8340.66,547,3,1,home_improvement,0
316,20000.0,9123.83,649,13,1,home_improvement,0
317,48290.24,44458.93,555,10,3,debt_consolidation,1
318,72322.89,21525.07,571,4,1,home_improvement,0
319,20000.0,13262.72,545,11,1,personal,0
320,116318.57,12584.27,649,9,3,debt_consolidation,0
321,42175.1,5795.06,553,7,2,home_improvement,0
322,34949.98,18665.79,626,11,0,business,0
323,71955.13,14450.02,610,10,0,debt_consolidation,0
324,33292.51,25382.39,652,9,2,debt_consolidation,1
325,96269.96,3077.29,679,7,3,debt_consolidation,0
326,49524.03,11609.22,673,9,4,home_improvement,0
327,99619.7,12566.67,581,11,0,personal,0
328,90756.48,16932.6,676,3,0,education,0
329,52106.69,15721.71,646,2,1,education,0
330,34881.98,19310.07,716,8,2,education,0
331,116908.7,11650.36,626,5,0,home_improvement,0
332,22968.39,5578.55,726,6,0,business,0
333,41376.24,4810.54,601,10,0,debt_consolidation,0
334,75643.33,12793.86,605,8,1,debt_consolidation,0
335,23550.4,50000.0,671,4,0,personal,1
336,26618.77,20091.62,542,12,2,debt_consolidation,0
337,44751.98,50000.0,609,10,3,personal,1
338,56311.28,21729.5,771,10,0,home_improvement,0
339,20000.0,6390.55,733,2,3,education,0
340,86357.12,12213.63,649,7,1,personal,0
341,45435.08,50000.0,850,11,1,personal,0
342,69826.86,22983.81,666,9,1,debt_consolidation,0
343,33748.99,22509.96,692,13,2,home_improvement,0
344,40476.82,8228.49,795,7,0,education,0
345,57027.62,13413.11,705,8,1,home_improvement,0
346,53030.09,6316.55,654,8,1,education,0
347,68661.19,9851.96,735,8,0,business,0
348,70375.76,14933.31,728,7,2,home_improvement,0
349,27465.48,8678.09,621,3,2,business,0
350,53905.32,26103.44,662,5,1,education,0
351,45116.21,8914.68,691,5,0,personal,0
352,59753.12,16727.98,691,9,1,business,0
353,41778.79,26676.05,610,4,1,education,0
354,50323.91,50000.0,703,1,3,education,1
355,129815.13,17259.24,650,10,0,business,0
356,27165.23,6512.32,717,8,2,home_improvement,1
357,39151.29,13217.0,750,9,0,personal,0
358,20000.0,50000.0,614,3,1,education,1
359,37457.08,25979.23,650,13,1,home_improvement,0
360,28191.62,15288.96,694,3,1,education,0
361,129790.51,19968.08,738,3,1,education,0
362,41632.86,16247.98,634,12,2,education,0
363,40044.73,5469.04,682,6,3,home_improvement,0
364,67771.91,15425.58,809,10,0,debt_consolidation,0
365,28687.66,8207.48,745,9,2,personal,0
366,71997.26,9118.07,660,8,0,personal,0
367,70788.81,10954.9,829,9,0,debt_consolidation,0
368,107383.18,3116.59,717,6,0,education,0
369,64455.01,11880.29,819,8,0,debt_consolidation,0
370,20000.0,4123.08,769,8,1,business,0
371,86638.83,24005.14,850,4,0,business,0
372,200000.0,3177.37,798,7,3,home_improvement,0
373,48320.6,3966.54,643,4,0,home_improvement,0
374,49045.32,3579.06,744,8,3,business,0
375,38397.61,16622.02,608,4,1,debt_consolidation,0
376,21645.93,13303.73,753,6,2,home_improvement,0
377,58893.87,44119.71,816,6,2,debt_consolidation,0
378,37253.38,18078.61,613,5,0,home_improvement,1
379,57916.78,3896.16,739,6,3,personal,1
380,58808.48,7412.41,731,7,0,debt_consolidation,0
381,126693.17,15290.68,733,7,1,business,0
382,40095.82,16848.91,585,9,3,business,0
383,26340.66,3816.72,642,6,2,home_improvement,0
384,56507.52,25118.77,705,5,0,debt_consolidation,0
385,46676.19,7285.19,650,7,0,education,0
386,124950.63,7389.07,603,5,3,business,0
387,74322.81,28322.93,757,3,2,business,0
388,45881.86,13460.02,628,5,3,debt_consolidation,0
389,81681.8,16947.26,677,5,1,debt_consolidation,0
390,85611.82,19340.7,850,4,4,home_improvement,0
391,30619.07,4491.34,762,5,1,education,0
392,61407.06,15910.43,683,5,1,business,0
393,148700.5,50000.0,712,8,0,debt_consolidation,0
394,23315.45,11541.09,703,6,5,business,1
395,33661.33,17374.3,563,3,4,education,0
396,44293.71,50000.0,707,6,3,personal,1
397,63457.02,39375.74,771,10,1,personal,0
398,57707.23,9825.19,673,7,0,education,0
399,54398.92,18838.56,739,6,0,debt_consolidation,0
400,44379.88,22643.37,721,6,1,personal,0
401,57328.06,50000.0,732,12,1,debt_consolidation,0
402,99479.01,7051.56,595,15,1,home_improvement,0
403,115252.69,50000.0,712,6,2,business,0
404,84290.98,16358.26,817,8,0,home_improvement,0
405,89951.94,10732.27,678,5,1,personal,0
406,51208.01,20643.13,659,7,1,personal,0
407,181407.13,10362.54,746,10,1,debt_consolidation,0
408,23853.92,10568.46,754,8,1,personal,0
409,55677.18,8970.56,777,8,0,debt_consolidation,0
410,71574.12,9119.61,670,10,1,education,0
411,50877.95,4100.83,722,9,0,personal,0
412,85568.43,4260.84,835,9,2,education,0
413,45328.76,7614.02,615,7,1,education,0
414,93462.04,16122.25,569,11,0,business,0
415,52218.0,8045.91,743,9,2,debt_consolidation,0
416,40526.89,50000.0,714,3,0,education,0
417,38071.07,20883.89,647,8,0,business,0
418,56666.46,8354.76,628,9,3,personal,0
419,36483.93,47307.32,673,7,0,personal,1
420,20000.0,11486.32,761,2,1,education,0
421,20000.0,11421.85,755,4,0,personal,0
422,38352.12,20943.97,697,5,0,debt_consolidation,0
423,41308.93,12686.62,641,4,1,personal,0
424,91829.79,14309.03,479,4,0,home_improvement,0
425,58509.29,21387.53,716,7,2,personal,0
426,52480.66,6010.35,733,7,1,education,0
427,33945.08,12396.83,668,6,1,business,0
428,200000.0,6923.4,850,7,0,debt_consolidation,0
429,49452.56,17061.28,620,11,1,debt_consolidation,0
430,78565.27,4975.44,798,8,1,business,0
431,49665.82,40229.28,741,7,2,debt_consolidation,0
432,65797.62,8828.33,665,3,0,education,0
433,24082.96,10577.62,551,6,1,education,0
434,59642.14,12327.99,791,5,2,business,0
435,51549.05,6794.54,684,4,2,education,0
436,51958.05,15719.57,824,6,1,home_improvement,0
437,84778.65,29044.15,685,5,1,education,0
438,22191.52,10604.3,796,7,1,debt_consolidation,0
439,38759.73,9926.34,565,5,2,business,0
440,20000.0,20965.97,572,9,3,home_improvement,1
441,42986.63,20088.14,647,8,0,education,1
442,84888.19,14574.93,506,4,3,home_improvement,0
443,80413.15,31320.67,705,10,2,personal,0
444,43928.98,17840.36,619,7,1,personal,1
445,54402.02,46248.92,740,3,1,home_improvement,0
446,40842.18,10807.96,525,3,1,personal,0
447,50137.39,6003.94,772,8,0,personal,0
448,85471.34,35375.65,686,8,0,personal,0
449,115514.42,3887.14,752,8,0,business,0
450,70227.2,7397.6,666,7,3,business,0
451,47415.74,6707.51,546,9,0,personal,0
452,117765.99,13943.41,785,8,1,debt_consolidation,0
453,65730.98,12657.13,739,9,5,personal,0
454,42897.95,31227.44,756,8,2,personal,0
455,45821.45,13996.67,690,10,1,personal,0
456,39630.48,8939.21,827,5,1,debt_consolidation,0
457,71026.07,10974.19,850,1,0,debt_consolidation,0
458,57404.37,6925.94,790,11,2,personal,0
459,54614.7,21213.58,566,5,1,education,0
460,36700.82,37850.01,700,11,5,home_improvement,1
461,131862.46,15463.26,626,10,0,business,0
462,45772.12,13194.09,572,8,4,home_improvement,1
463,87294.24,18509.91,670,6,0,business,0
464,29714.17,9716.59,772,5,1,home_improvement,0
465,64137.28,12103.25,645,7,1,debt_consolidation,0
466,35880.38,11896.93,633,5,0,personal,0
467,64392.77,21875.56,655,6,1,business,0
468,32810.67,10194.83,847,6,1,personal,0
469,27207.25,3034.51,722,5,4,personal,1
470,30373.88,6041.84,623,4,0,debt_consolidation,0
471,22311.31,50000.0,819,9,0,business,1
472,34179.69,11915.25,690,5,4,education,0
473,73403.55,18968.02,612,8,1,debt_consolidation,0
474,33564.07,12607.2,640,8,2,personal,0
475,35516.16,12680.42,614,7,1,business,0
476,57790.46,6111.68,669,5,1,debt_consolidation,0
477,20000.0,44028.0,674,5,0,debt_consolidation,1
478,68847.17,7916.08,695,14,0,education,0
479,47375.81,7785.56,637,7,1,home_improvement,0
480,60748.23,17462.81,729,7,0,business,0
481,46600.11,30199.12,808,4,1,business,0
482,42691.04,11029.4,633,10,1,business,0
483,77357.81,3600.56,783,5,1,business,0
484,48352.1,3681.41,696,7,2,home_improvement,0
485,66569.35,39418.8,667,6,1,debt_consolidation,0
486,80900.88,14062.44,739,6,2,debt_consolidation,0
487,27000.75,33864.35,720,8,2,home_improvement,1
488,34608.86,15750.89,731,7,2,debt_consolidation,0
489,32372.99,7358.04,624,8,1,home_improvement,0
490,41223.3,17551.96,600,7,1,home_improvement,0
491,53252.7,16115.99,511,7,1,debt_consolidation,0
492,31415.07,18950.61,712,9,1,debt_consolidation,0
493,32728.42,14155.33,607,4,0,home_improvement,0
494,41089.1,9550.71,634,8,0,education,0
495,77085.91,29797.87,672,8,0,personal,0
496,37806.46,12779.67,581,7,1,business,0
497,51392.15,15757.49,795,6,0,home_improvement,0
498,42223.52,6731.61,658,5,0,debt_consolidation,0
499,46373.8,6268.54,723,9,0,home_improvement,0
500,35149.44,7598.03,750,3,1,debt_consolidation,0
501,20000.0,6253.01,536,9,0,home_improvement,0
502,35548.45,2949.03,651,8,1,debt_consolidation,0
503,54858.28,8619.4,747,6,0,education,0
504,50646.88,38808.56,600,7,1,personal,0
505,69407.67,9945.98,706,13,3,debt_consolidation,0
506,23454.01,5525.3,609,8,1,education,0
507,59040.9,21953.47,712,7,3,personal,0
508,37214.89,12302.09,636,5,1,debt_consolidation,1
509,33390.28,10276.98,687,7,0,business,0
510,63647.51,5762.16,783,4,2,home_improvement,0
511,72832.63,13427.16,737,8,5,home_improvement,0
512,86987.74,13686.18,622,8,1,home_improvement,0
513,64651.37,16548.84,722,3,0,debt_consolidation,0
514,46533.84,14069.08,712,9,4,business,0
515,23504.71,12093.52,774,9,1,business,0
516,91199.06,13376.05,687,8,0,business,0
517,54924.01,12369.21,685,16,0,personal,0
518,30887.95,4756.51,744,3,1,debt_consolidation,0
519,54555.34,50000.0,745,3,2,education,1
520,23578.88,20351.03,850,3,1,personal,0
521,96371.64,14780.4,803,4,0,debt_consolidation,0
522,40191.26,11364.35,682,8,3,business,0
523,28244.49,11866.22,673,6,2,debt_consolidation,0
524,93417.12,16381.83,620,14,1,business,0
525,25331.0,35672.23,561,7,0,education,1
526,48376.47,8253.75,689,7,2,business,1
527,52402.39,16158.65,509,9,3,personal,0
528,25506.12,4304.12,838,9,2,debt_consolidation,0
529,40071.49,23598.01,615,5,1,home_improvement,1
530,20000.0,16982.24,783,7,2,business,1
531,39500.31,12431.78,671,9,1,business,0
532,20000.0,2938.97,726,7,2,home_improvement,0
533,76535.56,8945.95,579,2,0,personal,0
534,35803.58,6922.52,727,10,1,education,0
535,26794.71,7045.25,691,7,1,education,0
536,54348.47,3642.81,837,8,4,personal,0
537,20372.66,10341.71,579,5,0,debt_consolidation,0
538,33863.27,47805.13,575,2,3,education,1
539,70458.02,21946.44,598,6,1,personal,0
540,24293.25,13863.96,518,6,3,business,0
541,42584.48,19633.87,613,7,1,home_improvement,0
542,32265.11,50000.0,604,7,0,debt_consolidation,1
543,20000.0,6630.49,678,7,3,debt_consolidation,1
544,27378.24,7735.16,684,6,0,business,0
545,34459.44,9500.12,561,9,1,education,0
546,55181.15,4959.14,777,10,3,debt_consolidation,0
547,97453.33,16732.05,727,6,0,home_improvement,0
548,48454.48,10776.33,755,11,0,business,0
549,51691.94,20679.29,776,8,3,debt_consolidation,0
550,71433.25,23924.19,603,5,2,business,0
551,60552.62,33646.95,634,10,5,education,1
552,35037.78,22162.14,712,9,0,personal,0
553,36682.26,10263.4,784,4,1,business,0
554,65049.79,9350.01,706,11,1,education,0
555,62727.69,6682.21,680,1,1,debt_consolidation,0
556,54266.27,13802.18,627,4,1,debt_consolidation,0
557,35840.95,17165.92,576,9,2,education,0
558,110378.69,4706.03,774,6,0,debt_consolidation,0
559,32813.3,30033.04,651,4,1,debt_consolidation,0
560,46413.89,13607.41,686,12,2,debt_consolidation,0
561,99034.8,10253.42,817,2,2,education,0
562,52087.07,6563.87,653,11,2,education,0
563,47536.5,35728.2,687,7,2,business,0
564,56732.67,19073.06,644,6,2,home_improvement,0
565,35541.1,24435.42,578,4,1,personal,1
566,46785.17,12383.37,708,7,1,debt_consolidation,0
567,70913.43,41427.53,525,10,1,home_improvement,0
568,78342.46,23777.29,798,8,0,home_improvement,0
569,108862.62,33725.41,517,4,1,education,0
570,33857.45,30170.97,660,9,1,education,1
571,94740.33,8637.98,640,7,0,home_improvement,0
572,66260.5,15433.87,771,9,0,education,0
573,84189.43,33993.16,625,4,1,business,0
