company_id,employees,marketing_spend_k,rd_spend_k,admin_spend_k,years_in_business,num_products,annual_revenue_k
149,713,468.0,332.5,279.4,33,1,828.8
150,2048,322.8,229.8,222.0,23,17,823.4
151,3495,263.2,30.1,33.5,21,3,614.5
152,3793,332.0,19.5,238.8,19,13,724.5
153,1545,223.5,57.9,251.8,19,14,606.1
154,3354,367.7,10.4,230.1,36,18,859.7
155,3813,33.4,34.8,243.9,29,4,542.2
156,1903,287.4,278.2,251.0,18,18,842.9
157,4709,87.7,216.1,72.2,2,5,741.7
158,1341,68.9,301.2,86.0,1,16,581.7
159,3631,177.5,365.7,197.5,5,1,901.2
160,3507,55.0,236.1,274.2,20,14,803.5
161,1686,56.1,291.8,108.5,11,15,666.2
162,3746,162.6,304.0,184.7,2,9,853.8
163,3049,490.0,154.3,211.2,3,15,864.3
164,3202,95.9,100.2,146.5,23,17,724.4
165,748,18.4,86.0,219.9,12,4,303.8
166,2210,384.0,104.3,271.9,20,12,785.9
167,4147,405.4,113.5,194.7,5,5,803.4
168,4787,179.7,86.9,171.1,37,5,848.3
169,904,237.7,351.9,142.8,38,11,821.1
170,3524,328.4,304.0,,30,6,1055.1
171,1757,33.5,23.5,119.5,9,7,318.0
172,2827,475.1,111.1,129.6,34,14,902.8
173,1783,444.5,13.8,168.9,35,11,648.8
174,4981,137.8,201.8,,22,13,867.4
175,3560,17.5,193.1,84.1,24,2,644.5
176,252,467.4,333.4,172.0,17,7,828.6
177,3305,255.5,126.6,140.8,10,4,783.4
178,4268,274.3,327.5,113.2,30,8,1017.9
179,4546,345.1,387.3,224.6,23,19,1186.7
180,816,311.8,39.9,214.2,32,13,600.5
181,4439,472.5,317.8,66.7,17,14,1102.5
182,2377,472.7,238.0,266.0,17,10,931.5
183,2981,434.9,194.6,158.7,14,11,858.3
184,247,321.8,171.1,227.6,9,2,502.4
185,1980,402.5,314.9,180.5,2,9,882.0
186,3632,341.8,257.5,299.4,25,17,1028.9
187,658,290.9,323.0,230.7,39,3,780.8
188,3322,73.0,361.7,218.0,9,6,827.7
189,1197,407.5,248.8,238.0,22,5,681.3
190,4332,412.1,392.3,60.1,4,5,1021.8
191,3447,316.7,245.2,77.3,26,15,883.6
192,2561,412.0,256.5,,29,17,1069.0
193,1844,329.2,224.2,158.3,34,9,790.3
194,709,111.3,40.9,231.3,23,3,409.2
195,2861,144.2,291.9,48.8,37,17,817.1
196,1419,115.1,221.2,170.2,11,10,547.3
197,2036,194.9,183.1,126.1,6,3,587.5
198,196,29.1,364.6,148.0,18,18,638.7
199,3269,312.9,122.7,189.1,21,18,866.4
200,2961,174.9,211.8,160.6,36,17,800.4
