transaction_id,transaction_amount,merchant_category,hour_of_day,day_of_week,distance_from_home_km,num_transactions_last_hour,card_present,transaction_country_match,customer_age,account_age_months,is_fraud
47,107.55,grocery,1,6,161.0,1,0,1,62,97,1
48,89.09,travel,11,0,0.9,0,1,1,24,21,0
49,95.95,travel,20,1,10.0,0,1,1,32,99,0
50,25.53,electronics,13,2,22.3,1,0,1,40,183,0
51,420.14,online_retail,15,4,2.5,3,1,0,53,155,0
52,180.07,electronics,10,0,14.2,0,1,1,60,148,0
53,337.61,electronics,19,6,4.1,0,0,1,48,223,0
54,271.26,online_retail,8,3,30.3,3,0,1,79,144,0
55,110.33,gas_station,9,3,5.9,2,1,1,25,206,0
56,306.93,grocery,16,6,6.0,1,0,1,76,48,0
57,12.12,travel,11,4,13.7,0,0,1,47,32,0
58,27.18,electronics,5,3,3.0,0,0,1,51,233,0
59,6.55,online_retail,18,2,5.0,1,0,1,50,32,0
60,48.22,restaurant,10,1,8.1,0,1,1,18,181,0
61,60.06,electronics,8,0,6.5,1,0,1,33,124,0
62,38.99,travel,20,5,11.2,3,1,1,67,181,0
63,212.75,grocery,5,4,13.7,0,0,1,28,130,0
64,53.95,electronics,23,3,12.5,1,0,1,44,185,0
65,40.58,electronics,15,1,15.9,0,1,1,39,237,0
66,94.89,gas_station,19,5,5.5,0,1,1,57,22,0
67,19.23,online_retail,15,2,2.0,3,1,1,36,229,0
68,195.46,restaurant,5,3,21.5,0,0,1,61,52,0
69,10.3,restaurant,4,3,28.5,2,0,1,23,209,0
70,521.1,grocery,20,0,4.5,1,1,1,73,96,0
71,178.54,travel,3,2,7.8,0,1,1,74,230,0
72,27.58,grocery,1,2,10.4,1,0,1,65,209,0
73,1.66,electronics,5,4,11.4,0,1,1,57,186,0
74,203.79,electronics,8,5,16.2,2,1,1,56,162,0
75,148.25,restaurant,16,0,0.6,2,1,1,37,199,0
76,157.68,travel,13,4,19.2,2,0,1,20,221,0
77,178.03,online_retail,6,0,1.0,0,0,1,72,145,0
78,10.23,travel,21,2,9.5,2,1,0,18,216,0
79,54.27,electronics,18,0,26.4,2,1,1,40,200,0
80,15.78,online_retail,0,0,9.0,4,1,1,55,23,0
81,239.62,travel,19,0,2.4,0,0,1,20,33,0
82,118.16,travel,14,1,63.0,1,1,1,79,157,0
83,49.22,online_retail,17,1,33.0,1,1,1,68,19,0
84,8.88,electronics,2,5,22.1,0,1,1,51,121,0
85,45.7,travel,17,5,8.0,0,0,1,34,69,0
86,139.67,online_retail,1,6,16.4,4,1,1,65,37,1
87,157.95,gas_station,9,2,42.6,0,1,1,44,215,0
88,122.79,gas_station,10,0,11.4,1,0,1,70,123,0
89,262.87,electronics,23,2,28.7,1,0,0,78,154,0
90,77.69,online_retail,2,1,6.3,2,1,1,56,24,0
91,16.28,gas_station,6,0,6.1,2,1,1,40,54,0
92,150.9,online_retail,7,4,63.5,1,1,1,55,21,0
93,172.65,travel,18,1,11.1,2,1,1,28,97,0
94,99.87,electronics,17,1,2.3,0,1,1,32,90,0
95,177.87,gas_station,12,1,3.7,0,1,1,43,138,0
96,82.7,travel,12,6,9.9,0,1,1,71,42,0
97,89.76,grocery,23,0,0.7,1,0,1,28,157,0
98,67.94,grocery,18,5,9.3,0,1,1,24,185,0
99,4.09,electronics,22,3,8.1,2,1,1,64,163,0
100,14.7,gas_station,11,4,22.7,2,1,0,65,28,0
101,4.83,gas_station,16,4,6.6,1,1,1,25,140,0
102,122.41,gas_station,21,2,60.7,2,1,1,22,58,0
103,46.29,online_retail,11,0,3.0,1,0,1,34,127,0
104,86.25,travel,12,5,13.4,1,1,1,40,172,0
105,286.75,gas_station,11,1,1.4,0,0,1,19,7,0
106,35.41,travel,18,3,19.9,1,1,1,44,144,0
107,64.39,electronics,13,0,78.8,1,1,1,80,212,0
108,170.05,gas_station,6,0,25.7,0,1,1,38,93,0
109,32.18,electronics,12,6,12.2,2,1,1,24,35,0
110,10.61,gas_station,5,5,9.9,1,0,1,72,92,0
111,42.06,grocery,23,3,27.0,1,0,1,74,7,0
112,22.1,restaurant,18,1,41.2,0,1,1,70,214,0
113,1302.96,electronics,18,0,332.2,1,1,1,55,14,1
114,199.11,gas_station,3,4,7.6,0,1,1,43,59,0
115,121.42,restaurant,18,4,70.5,2,0,1,47,228,0
116,247.18,electronics,8,3,2.5,1,1,1,29,62,0
117,196.36,online_retail,15,1,4.4,1,1,1,65,202,0
118,25.78,gas_station,3,3,1.4,1,1,1,28,120,0
119,268.7,online_retail,5,0,4.8,2,1,1,71,66,0
120,94.01,grocery,7,6,21.9,1,1,1,34,22,0
121,198.68,gas_station,23,6,28.8,1,1,1,27,144,0
122,272.71,grocery,15,4,22.6,5,1,1,72,99,0
123,46.93,restaurant,4,6,15.0,1,1,1,65,239,0
124,14.99,electronics,20,2,10.8,0,1,1,33,232,0
125,32.04,travel,21,3,18.5,2,1,1,32,240,0
126,67.85,grocery,9,6,7.4,0,1,1,75,203,0
127,205.46,travel,22,2,27.6,2,1,1,32,120,0
128,237.56,travel,12,2,17.0,3,1,1,72,235,0
129,1.84,electronics,13,5,18.0,1,1,1,37,43,0
130,86.79,restaurant,6,4,11.5,1,1,1,21,97,0
131,65.83,electronics,19,3,32.5,1,1,1,49,98,0
132,31.14,gas_station,5,2,4.4,2,1,1,76,116,0
133,16.32,grocery,6,0,7.2,3,1,1,39,225,0
134,50.43,travel,4,6,22.6,1,1,1,52,211,0
135,344.57,electronics,20,5,10.2,1,0,1,31,148,0
136,47.85,electronics,17,1,33.0,1,1,1,47,138,0
137,88.77,electronics,22,6,6.4,0,0,1,48,147,0
138,146.69,grocery,11,6,6.9,2,0,1,27,235,0
139,55.24,restaurant,5,6,32.9,0,1,1,23,12,0
140,429.14,electronics,0,5,9.4,2,0,1,44,138,0
141,394.84,grocery,3,1,10.9,1,1,1,28,71,0
142,35.81,travel,18,4,6.1,0,1,1,53,184,0
143,83.52,gas_station,11,3,4.9,3,1,1,27,104,0
144,43.95,online_retail,14,3,16.0,1,1,1,33,11,0
145,41.23,grocery,2,1,1.9,1,1,1,41,208,0
146,5.51,online_retail,22,6,31.7,1,1,1,38,225,0
147,113.86,electronics,19,0,22.7,0,1,1,78,61,0
148,84.82,electronics,7,1,3.2,2,1,1,57,126,0
149,7.34,grocery,10,1,17.8,1,1,1,58,166,0
150,40.2,online_retail,15,3,13.8,0,1,1,53,17,0
151,287.66,electronics,8,2,3.1,2,0,1,66,54,0
152,33.86,travel,2,0,4.8,1,1,1,59,173,0
153,19.78,restaurant,4,3,7.9,2,1,1,72,153,0
154,81.67,restaurant,19,5,18.0,2,1,1,62,106,0
155,510.28,electronics,13,1,15.3,2,0,1,40,159,0
156,34.26,online_retail,14,2,11.4,1,1,1,38,106,0
157,134.82,gas_station,5,0,21.9,2,0,1,49,193,0
158,593.93,electronics,3,4,99.1,1,1,1,70,39,1
159,33.56,gas_station,7,0,14.4,2,1,1,34,20,0
160,157.33,gas_station,18,0,23.2,0,0,1,80,73,0
161,56.02,online_retail,4,6,6.1,1,0,1,68,43,0
162,121.06,gas_station,12,1,32.0,0,1,1,34,116,0
163,121.46,travel,15,1,14.3,5,1,1,72,194,0
164,93.09,online_retail,0,4,25.9,0,0,1,38,129,0
165,12.36,electronics,12,4,11.9,0,1,1,77,55,0
166,217.44,travel,21,4,3.7,0,1,1,21,108,0
167,47.42,grocery,10,3,11.7,0,1,1,79,103,0
168,25.77,restaurant,20,3,7.0,1,1,1,40,179,0
169,6.0,electronics,7,1,17.9,0,0,1,42,133,0
170,108.25,electronics,7,1,9.7,0,1,1,49,140,0
171,136.82,electronics,23,4,27.1,1,0,1,23,14,0
172,3.01,travel,13,3,17.0,1,1,1,31,188,0
173,87.12,grocery,12,2,17.3,5,1,1,58,103,0
174,31.82,online_retail,2,3,3.7,3,1,0,55,224,0
175,125.33,grocery,3,1,62.3,2,0,1,59,40,0
176,23.99,travel,19,3,27.6,1,0,1,74,238,0
177,141.91,electronics,14,1,23.3,1,0,1,55,108,0
178,194.75,restaurant,14,4,19.1,0,1,1,79,137,1
179,332.24,electronics,20,6,11.5,0,0,1,58,170,0
180,18.75,online_retail,12,4,2.2,0,0,1,62,42,0
181,51.06,gas_station,8,4,11.6,1,1,1,33,33,0
182,15.45,restaurant,9,2,2.4,0,1,1,79,25,0
183,311.34,electronics,11,6,12.1,3,1,0,49,118,0
184,252.8,restaurant,13,2,15.7,3,1,1,33,230,0
185,36.8,gas_station,0,1,7.4,2,0,1,36,78,0
186,130.45,grocery,13,0,10.4,0,1,1,54,9,0
187,204.94,travel,13,5,31.3,1,1,1,60,119,0
188,98.22,electronics,7,2,1.7,0,1,1,38,119,0
189,91.51,online_retail,15,1,23.5,1,1,1,32,91,0
190,34.23,grocery,13,6,2.8,2,0,1,78,172,0
191,12.73,electronics,0,3,0.6,0,1,1,43,211,0
192,274.01,grocery,15,6,3.1,0,1,1,47,58,0
193,277.81,online_retail,17,4,21.7,0,0,0,57,153,0
194,121.32,electronics,6,4,7.8,0,0,1,32,116,0
195,50.69,gas_station,14,4,30.9,0,1,1,60,32,0
196,52.55,gas_station,23,1,11.2,1,1,1,78,22,0
197,156.34,online_retail,16,4,0.3,3,1,1,30,93,0
198,273.89,restaurant,18,2,18.9,0,0,1,44,55,0
199,262.74,online_retail,22,3,1.8,1,0,1,40,220,0
200,182.63,restaurant,12,4,23.4,0,1,1,51,189,0
201,124.28,electronics,8,1,2.8,1,1,1,76,108,0
202,11.55,restaurant,23,3,6.4,0,1,1,51,185,0
203,22.16,electronics,23,4,21.5,2,1,1,40,77,0
204,275.59,electronics,14,0,46.3,1,1,1,75,61,0
205,372.1,travel,2,4,25.6,1,1,1,61,122,1
206,2.11,electronics,23,5,26.5,2,1,1,75,92,0
207,13.84,restaurant,0,6,3.2,2,0,1,37,67,0
208,131.7,travel,15,2,24.7,1,1,1,71,222,0
209,1.61,travel,7,3,16.1,2,0,1,26,203,0
210,22.04,electronics,22,2,3.2,2,1,1,75,130,0
211,412.83,online_retail,12,0,29.0,0,0,1,76,114,1
212,142.28,online_retail,7,0,2.1,0,1,1,37,185,0
213,127.65,gas_station,16,5,7.2,3,1,1,64,121,0
214,31.47,travel,21,2,3.4,1,1,1,56,201,0
215,150.45,electronics,22,3,15.5,0,1,1,74,161,0
216,33.5,online_retail,13,0,78.1,1,0,1,31,218,0
217,48.24,electronics,20,0,0.2,2,1,0,66,63,0
218,165.68,electronics,20,4,11.7,1,1,1,43,144,0
219,126.85,travel,6,5,12.8,3,1,1,44,217,0
220,228.03,gas_station,14,6,36.8,1,0,1,51,129,0
221,129.62,travel,15,1,10.6,0,1,1,46,85,0
222,101.81,grocery,18,6,11.8,2,1,1,49,64,0
223,12.8,online_retail,5,6,9.6,0,0,1,58,212,0
224,56.01,online_retail,22,0,4.7,1,1,1,62,120,0
225,37.98,online_retail,0,3,0.9,2,1,1,22,69,0
226,34.56,restaurant,11,3,7.9,3,1,1,21,124,0
227,434.48,electronics,17,4,0.8,1,1,1,40,121,0
228,60.93,travel,15,3,12.0,0,1,1,38,145,0
229,268.13,online_retail,11,4,5.5,0,1,1,50,40,0
230,120.68,grocery,19,0,11.4,2,0,1,58,102,0
231,191.06,online_retail,12,0,2.2,1,0,1,41,129,0
232,84.81,gas_station,7,6,40.5,2,0,1,33,13,0
233,104.22,electronics,21,0,33.7,1,1,1,49,18,0
234,82.4,electronics,0,0,3.2,3,1,1,36,68,0
235,134.64,travel,20,1,28.7,3,0,1,43,111,1
236,154.81,restaurant,6,5,14.3,1,1,1,20,14,0
237,40.55,travel,14,6,1.5,0,0,1,52,240,0
238,3.95,online_retail,21,6,6.6,1,1,1,56,133,0
239,125.44,gas_station,12,5,4.3,1,0,1,35,62,0
240,24.39,grocery,12,1,37.1,3,0,0,74,161,0
241,339.53,travel,8,0,28.7,1,1,1,69,26,0
242,370.31,restaurant,23,3,13.0,1,1,1,24,189,0
243,296.62,travel,14,4,11.0,0,1,1,49,196,0
244,212.66,electronics,3,6,135.3,1,1,1,41,30,1
245,2.87,online_retail,12,5,40.4,4,1,1,33,190,0
246,317.26,online_retail,11,2,52.3,1,1,0,70,62,0
247,68.07,online_retail,4,4,2.0,1,1,1,41,81,0
248,409.1,online_retail,6,2,2.6,1,1,1,21,220,0
249,398.65,online_retail,7,2,16.9,0,1,1,62,70,0
250,231.09,online_retail,4,6,11.7,0,1,1,49,185,0
251,42.85,grocery,8,0,0.3,0,1,1,59,91,0
252,59.36,restaurant,13,2,1.0,0,0,1,51,36,0
253,229.57,online_retail,11,0,32.8,1,0,1,36,7,0
254,46.74,restaurant,3,1,30.5,1,1,1,31,65,0
255,23.29,gas_station,19,3,6.6,0,1,1,55,202,0
256,98.65,online_retail,7,2,33.3,2,0,1,75,77,0
257,1408.97,travel,16,6,32.9,1,1,0,30,41,1
258,143.9,online_retail,7,3,24.6,0,1,1,39,32,0
259,102.29,electronics,20,0,8.4,2,1,1,77,142,0
260,13.27,grocery,0,2,1.8,0,1,1,48,161,0
261,115.54,travel,19,4,8.5,1,1,1,61,30,0
262,554.27,travel,1,6,9.2,0,0,1,61,201,0
263,19.11,electronics,3,1,12.0,2,1,1,47,6,0
264,88.66,online_retail,23,5,1.7,2,0,1,40,10,0
265,252.83,grocery,20,1,71.3,2,1,1,29,203,0
266,163.0,travel,0,2,4.2,0,0,1,60,103,0
267,144.29,grocery,6,6,3.3,2,1,1,31,20,0
268,146.47,travel,0,1,11.2,4,1,1,53,89,0
269,54.46,online_retail,8,5,11.6,0,0,1,62,124,0
270,133.16,gas_station,2,4,48.7,1,0,1,25,118,1
271,199.88,travel,11,3,22.2,1,1,1,41,12,0
272,200.36,gas_station,18,4,10.9,0,0,1,76,22,0
273,243.15,travel,14,1,14.1,2,1,1,72,76,0
274,1348.69,restaurant,21,5,112.4,1,0,1,20,14,1
275,86.93,online_retail,15,3,0.4,2,0,1,31,106,0
276,84.54,electronics,9,6,12.7,2,1,1,68,176,0
277,193.11,gas_station,21,5,32.3,1,1,1,67,182,0
278,126.97,electronics,5,4,0.3,1,1,1,28,36,0
279,146.27,online_retail,16,0,7.8,0,0,1,62,189,0
280,191.63,electronics,20,0,39.1,1,1,1,72,55,0
281,265.88,online_retail,21,3,6.5,3,1,1,79,14,0
282,50.5,electronics,23,3,9.2,2,1,1,55,2,0
283,57.51,gas_station,16,3,59.9,2,0,1,45,2,0
284,12.84,restaurant,20,0,3.3,1,1,1,40,61,0
285,341.13,electronics,18,4,4.9,1,0,1,35,107,1
286,5.39,gas_station,17,3,29.4,1,0,1,37,107,0
287,76.19,travel,10,0,30.4,3,1,1,50,134,0
288,94.88,online_retail,23,3,9.6,3,1,1,19,153,0
289,41.52,grocery,6,3,10.8,2,0,1,56,195,0
290,108.24,grocery,9,5,27.1,1,1,1,54,23,0
291,4.72,online_retail,6,3,20.1,1,0,1,43,73,0
292,26.77,restaurant,4,0,21.9,4,0,1,68,95,1
293,208.52,electronics,11,4,0.3,1,1,1,19,28,0
294,54.59,restaurant,15,0,9.8,0,1,1,20,25,0
295,17.31,grocery,20,0,29.4,1,1,1,37,99,0
296,89.64,gas_station,17,3,33.9,0,1,1,27,65,0
297,177.36,online_retail,2,5,46.9,1,1,1,59,194,0
298,30.17,online_retail,19,2,31.7,0,1,1,38,207,0
299,118.03,restaurant,14,6,13.0,0,1,1,57,43,0
300,11.71,gas_station,4,2,8.8,0,1,0,26,40,0
301,7.37,restaurant,12,2,22.4,0,1,1,19,208,0
302,91.95,electronics,18,0,20.2,1,0,1,45,23,0
303,94.35,travel,11,3,11.6,1,1,1,20,177,0
304,122.74,gas_station,22,6,1.4,2,1,1,33,227,0
305,156.4,travel,20,2,39.1,2,0,1,21,8,0
306,447.83,electronics,4,1,9.1,2,1,1,40,128,0
307,88.15,travel,5,1,6.8,0,0,1,47,7,0
308,47.8,grocery,6,1,14.9,0,1,1,55,21,0
309,191.28,travel,9,4,16.8,1,0,0,30,35,0
310,38.9,electronics,15,3,3.5,0,1,1,23,231,0
311,70.36,travel,7,0,27.2,1,0,1,27,101,0
312,10.8,online_retail,8,0,5.1,0,0,1,72,225,0
313,4.08,restaurant,3,3,3.1,0,1,1,34,229,0
314,395.49,grocery,20,5,7.8,4,1,1,25,99,0
315,217.93,online_retail,20,6,19.7,0,0,1,26,82,0
316,608.69,online_retail,7,5,209.6,2,1,1,51,61,1
317,264.24,electronics,6,4,146.6,2,0,1,34,211,1
318,23.84,restaurant,14,3,42.3,0,1,1,69,74,0
319,21.41,restaurant,20,5,2.3,0,0,1,60,196,0
320,35.56,gas_station,2,6,1.1,1,1,1,67,158,0
321,96.61,grocery,16,4,12.2,1,1,1,39,109,0
322,151.46,electronics,10,2,5.1,1,1,0,20,225,0
323,130.53,grocery,8,2,26.4,4,1,1,58,68,0
324,40.41,gas_station,4,4,16.7,0,1,1,57,137,0
325,372.77,travel,9,3,53.0,0,1,1,46,17,0
326,161.68,online_retail,14,2,4.4,0,1,1,56,43,0
327,97.99,grocery,13,3,10.0,1,0,0,44,103,0
328,114.52,online_retail,3,5,10.4,0,1,0,56,88,0
329,66.28,electronics,20,2,4.1,2,0,0,72,185,0
330,35.16,travel,19,6,13.4,1,1,1,70,103,0
331,53.8,electronics,1,6,8.8,1,1,0,57,141,0
332,171.18,travel,11,5,8.9,2,1,1,69,185,0
333,2.74,travel,0,6,6.8,1,1,0,54,154,0
334,15.81,online_retail,23,3,0.3,0,1,1,20,189,0
335,6.65,electronics,19,3,11.1,1,1,1,36,62,0
336,5.99,electronics,4,6,6.1,3,1,1,51,19,0
337,233.1,grocery,5,1,0.0,0,1,1,31,81,0
338,146.95,electronics,23,4,5.5,0,1,1,38,30,0
339,78.13,grocery,10,0,4.9,0,1,1,77,127,0
340,13.35,restaurant,7,4,7.5,1,1,1,19,218,0
341,82.18,restaurant,6,6,2.1,1,1,1,27,13,0
342,77.97,restaurant,3,3,10.6,3,1,1,69,177,0
343,23.82,gas_station,5,3,17.7,3,1,1,59,82,0
344,69.27,electronics,15,4,14.9,1,1,1,77,121,0
345,62.0,gas_station,19,3,24.4,0,1,0,34,213,0
346,115.81,electronics,14,5,9.0,3,1,1,19,116,0
347,121.97,grocery,13,2,11.0,2,1,1,44,226,0
348,6.56,gas_station,22,3,24.9,0,0,1,18,179,0
349,57.33,gas_station,11,6,8.4,0,1,1,67,111,0
350,118.97,gas_station,11,6,18.1,2,1,1,53,9,0
351,84.93,travel,15,4,8.6,0,1,1,50,222,0
352,233.96,grocery,14,4,8.1,4,1,0,39,29,0
353,130.0,restaurant,12,4,21.4,1,0,1,66,93,0
354,22.34,grocery,10,6,2.9,2,0,0,52,110,0
355,9.78,travel,16,1,6.2,2,1,1,51,211,0
356,124.41,electronics,20,6,3.8,1,0,1,35,136,0
357,4.22,grocery,14,5,6.7,0,1,1,53,108,0
358,106.76,gas_station,13,6,3.9,2,1,1,74,81,0
359,339.07,restaurant,9,5,13.0,4,1,0,20,204,0
360,103.81,restaurant,11,6,24.0,0,1,1,61,15,0
361,59.96,electronics,15,6,23.2,1,0,1,71,197,0
362,124.7,grocery,14,1,6.8,1,0,1,33,162,0
363,74.55,travel,9,5,67.3,2,1,1,77,180,0
364,95.66,electronics,3,1,13.5,2,1,1,28,178,0
365,341.58,grocery,22,5,7.6,0,1,1,27,195,0
366,59.55,online_retail,8,1,27.1,1,0,1,68,5,0
367,390.89,restaurant,20,1,19.6,0,1,0,59,98,0
368,283.91,travel,19,5,20.8,0,1,1,38,9,0
369,27.15,gas_station,8,1,3.3,2,1,1,42,216,0
370,9.63,travel,20,6,9.5,0,0,1,52,5,0
371,13.75,gas_station,23,5,29.7,2,0,1,73,155,0
372,3.21,travel,19,1,10.5,2,1,1,23,113,0
373,12.9,restaurant,10,6,17.3,3,1,1,63,117,0
374,138.86,gas_station,10,6,13.3,0,0,1,80,84,0
375,9.86,grocery,6,4,27.7,3,0,1,61,47,0
376,47.1,gas_station,20,0,5.0,1,1,1,25,62,0
377,224.62,electronics,9,5,12.9,1,1,1,51,45,0
378,3.83,grocery,3,1,2.0,2,0,1,58,233,0
379,203.14,electronics,4,4,17.6,0,0,1,63,66,0
380,40.73,travel,4,0,19.7,2,0,1,18,23,0
381,16.09,grocery,10,1,0.7,0,1,1,20,98,0
382,144.18,travel,8,0,16.9,0,0,1,69,189,0
383,119.97,online_retail,15,5,8.0,2,1,0,55,93,0
384,252.93,travel,8,6,2.0,2,0,1,44,43,0
385,160.4,travel,21,6,8.2,2,1,1,69,163,0
386,196.24,electronics,3,0,3.2,2,1,1,30,158,0
387,40.76,gas_station,1,6,8.1,0,1,1,60,67,0
388,24.44,online_retail,13,2,7.3,0,0,1,64,138,0
389,167.65,travel,2,3,20.1,2,1,1,67,128,0
390,198.31,travel,17,6,22.3,0,1,1,36,56,0
391,559.84,online_retail,20,2,14.0,2,0,1,36,34,0
392,64.85,online_retail,5,5,0.3,1,1,1,23,65,0
393,56.83,grocery,10,5,40.1,1,1,1,64,6,0
394,180.75,electronics,20,0,17.4,3,0,1,70,198,0
395,51.01,online_retail,17,6,0.5,1,1,1,31,171,0
396,321.42,online_retail,11,6,25.6,2,0,1,22,16,0
397,235.58,restaurant,4,6,3.4,0,1,1,79,191,0
398,68.24,gas_station,8,4,13.0,2,0,1,60,193,0
399,167.77,online_retail,19,1,9.4,1,0,1,69,133,0
400,169.56,electronics,17,3,8.2,3,1,0,62,25,0
401,14.06,gas_station,18,6,33.1,2,0,1,62,27,0
402,280.41,gas_station,2,1,8.6,1,1,1,53,170,0
403,85.44,travel,8,4,1.2,2,0,1,26,117,0
404,211.16,travel,3,5,44.0,3,0,1,40,124,0
405,47.29,travel,16,3,38.0,1,1,1,49,55,0
406,272.05,travel,16,2,17.3,2,1,1,46,230,0
407,60.16,restaurant,22,5,9.5,1,0,1,62,107,0
408,2.31,online_retail,22,5,1.5,2,1,1,45,26,0
409,283.95,travel,1,0,23.5,2,1,1,57,16,0
410,12.49,grocery,8,4,1.2,0,1,1,69,109,0
411,47.16,travel,8,0,1.1,1,1,1,28,108,0
412,360.64,online_retail,4,0,11.6,0,0,1,80,90,0
413,361.95,travel,14,1,2.6,3,1,1,36,237,0
414,103.24,restaurant,14,5,0.1,1,1,1,18,101,0
415,120.91,electronics,2,4,8.3,0,0,1,26,156,0
416,72.4,electronics,18,0,2.2,1,1,1,74,220,0
417,42.64,online_retail,2,2,2.6,1,1,1,19,158,0
418,48.82,electronics,5,3,1.2,2,0,1,21,126,0
419,134.96,electronics,3,6,3.4,1,0,1,46,122,0
420,168.5,grocery,23,4,18.9,2,0,1,21,205,0
421,189.18,online_retail,12,1,24.8,2,1,1,77,89,0
422,188.06,online_retail,12,4,9.0,1,1,1,18,173,0
423,12.48,electronics,10,5,10.6,0,1,1,45,147,0
424,82.85,electronics,4,1,0.5,2,1,1,35,13,0
425,8.11,electronics,0,3,1.1,1,1,1,63,75,0
426,96.7,gas_station,8,2,4.5,3,1,1,30,112,0
427,70.91,restaurant,16,0,11.8,2,1,0,57,151,0
428,263.39,travel,21,4,20.2,2,1,1,23,14,0
429,52.86,restaurant,0,1,13.9,1,1,1,66,202,0
430,15.94,online_retail,2,3,7.5,0,1,1,72,98,0
431,19.52,grocery,14,0,1.9,0,1,1,60,104,0
432,173.01,travel,20,6,22.8,2,1,1,64,151,0
433,116.55,grocery,22,3,6.8,3,1,0,56,168,0
434,13.79,gas_station,9,2,20.0,1,0,1,39,64,0
435,11.54,online_retail,7,0,10.8,0,0,1,78,213,0
436,145.87,gas_station,11,0,20.1,0,0,1,47,187,0
437,10.07,online_retail,21,6,35.7,0,1,1,44,20,0
438,208.02,grocery,14,0,38.1,0,1,1,25,160,0
439,148.0,grocery,8,1,11.5,1,1,1,60,78,0
440,11.18,grocery,23,0,10.7,1,0,1,45,24,0
441,11.64,online_retail,9,3,4.6,0,1,1,70,46,0
442,1489.34,electronics,19,1,196.8,4,1,0,19,18,1
443,57.26,grocery,8,0,9.2,2,1,1,37,111,0
444,56.57,gas_station,14,3,2.0,0,1,1,28,94,0
445,886.77,travel,22,3,19.6,1,0,1,31,220,1
446,354.06,online_retail,20,4,2.0,1,1,0,41,176,0
447,513.25,gas_station,20,3,10.5,0,1,1,30,142,0
448,168.99,restaurant,0,6,12.4,1,1,1,25,234,0
449,57.64,restaurant,1,5,6.2,1,1,1,61,182,0
450,11.46,travel,18,2,1.1,0,0,1,38,149,0
451,181.15,electronics,13,0,43.1,2,1,1,39,98,0
452,99.08,grocery,7,6,22.3,1,0,1,26,5,0
453,155.72,online_retail,5,0,64.9,0,1,0,75,128,1
454,285.19,gas_station,11,0,6.9,0,1,1,75,159,0
455,15.15,grocery,14,3,21.5,2,0,1,59,195,0
456,82.42,gas_station,13,3,10.0,1,0,1,60,87,0
